realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106891012182,0,0,0,0,0,0,0,0
1783106891015445,7,8223,26764,19262,15934,0,0,0
1783106891016604,15,5737,27404,17113,18223,0,0,0
1783106891018705,32,-642,27991,12043,21906,0,0,0
1783106891019790,36,-1924,27932,10644,22619,0,0,0
1783106891020873,40,-3203,27815,9203,23243,0,0,0
1783106891021957,43,-4475,27815,7725,23775,0,0,0
1783106891023043,47,-5737,27639,6217,24213,0,0,0
1783106891024145,50,-5737,27404,4684,24556,0,0,0
1783106891025252,54,-6988,27112,3133,24801,0,0,0
1783106891026336,57,-8223,26764,1569,24801,0,0,0
1783106891027423,61,-9442,26358,0,24949,0,0,0
1783106891028503,64,-10640,25898,0,24999,0,0,0
1783106891029586,68,-11817,25383,-1569,24949,0,0,0
1783106891030630,71,-12968,25383,-3133,24801,0,0,0
1783106891031712,74,-12968,24814,-4684,24556,0,0,0
1783106891032802,78,-14092,24194,-6217,24213,0,0,0
1783106891033884,81,-15187,23522,-7725,24213,0,0,0
1783106891035002,85,-16249,22801,-9203,23775,0,0,0
1783106891036084,88,-17277,22032,-9203,23243,0,0,0
1783106891037144,92,-18269,21217,-10644,22619,0,0,0
1783106891038222,95,-19223,21217,-12043,21906,0,0,0
1783106891039303,99,-20136,20357,-13395,21107,0,0,0
1783106891040394,102,-20136,19454,-14694,20224,0,0,0
1783106891041475,106,-21007,18510,-15935,19261,0,0,0
1783106891042617,110,-21833,17528,-17113,18223,0,0,0
1783106891043703,113,-22614,16508,-18224,18223,0,0,0
1783106891044781,117,-23347,15454,-19262,17112,0,0,0
1783106891045863,120,-24031,14368,-19262,15934,0,0,0
1783106891046943,124,-24665,13251,-20225,14693,0,0,0
1783106891048040,128,-25246,12106,-21108,13394,0,0,0
1783106891049130,131,-25775,12106,-21907,12042,0,0,0
1783106891050214,134,-25775,10936,-22620,10643,0,0,0
1783106891051295,138,-26249,9742,-23244,9202,0,0,0
1783106891052381,141,-26668,8529,-23776,9202,0,0,0
1783106891053462,145,-27032,7297,-24214,7724,0,0,0
1783106891054546,148,-27338,6050,-24214,6216,0,0,0
1783106891055632,152,-27586,4790,-24557,4683,0,0,0
1783106891056722,155,-27777,4790,-24802,3132,0,0,0
1783106891057808,159,-27909,3521,-24950,1568,0,0,0
1783106891058894,162,-27909,2243,-25000,-1,0,0,0
1783106891059977,165,-27983,961,-24950,-1,0,0,0
1783106891061061,169,-27998,-322,-24802,-1570,0,0,0
1783106891062145,172,-27954,-1605,-24802,-3134,0,0,0
1783106891063282,176,-27851,-2885,-24557,-4685,0,0,0
1783106891064365,179,-27689,-2885,-24214,-6218,0,0,0
1783106891065506,183,-27469,-4159,-23776,-7726,0,0,0
1783106891066587,186,-27469,-5424,-23244,-9204,0,0,0
1783106891067672,189,-27192,-6677,-22620,-9204,0,0,0
1783106891068754,193,-26857,-7917,-21907,-10645,0,0,0
1783106891069835,196,-26466,-9140,-21907,-12044,0,0,0
1783106891070917,200,-26019,-10344,-21108,-13396,0,0,0
1783106891072010,203,-25517,-10344,-20225,-14695,0,0,0
1783106891073172,207,-24962,-11526,-19262,-15936,0,0,0
1783106891074262,210,-24962,-12684,-18224,-17114,0,0,0
1783106891075351,214,-24355,-13815,-17113,-18225,0,0,0
1783106891076434,217,-23696,-14917,-15935,-18225,0,0,0
1783106891077517,221,-22987,-15988,-14694,-19263,0,0,0
1783106891078633,225,-22230,-17025,-13395,-20226,0,0,0
1783106891079718,228,-21426,-18026,-13395,-21109,0,0,0
1783106891080802,232,-20577,-18989,-12043,-21908,0,0,0
1783106891081899,236,-19685,-19913,-10644,-22621,0,0,0
1783106891082980,239,-18751,-19913,-9203,-23245,0,0,0
1783106891084248,243,-17778,-20794,-7725,-23777,0,0,0
1783106891085330,246,-17778,-21632,-6217,-24215,0,0,0
1783106891086366,250,-16768,-22424,-4684,-24558,0,0,0
1783106891087447,253,-15722,-23170,-3133,-24558,0,0,0
1783106891088529,256,-14643,-23866,-3133,-24803,0,0,0
1783106891089610,260,-13534,-24512,-1569,-24951,0,0,0
1783106891090693,263,-12396,-24512,0,-25001,0,0,0
1783106891091843,267,-11231,-25107,1569,-24951,0,0,0
1783106891092928,270,-11231,-25649,3133,-24803,0,0,0
1783106891094007,273,-10044,-26137,4684,-24803,0,0,0
1783106891095089,277,-8835,-26570,6217,-24558,0,0,0
1783106891096141,280,-7608,-26947,6217,-24215,0,0,0
1783106891097230,284,-6364,-27268,7725,-23777,0,0,0
1783106891098384,288,-5107,-27531,9203,-23245,0,0,0
1783106891099469,291,-3840,-27531,10644,-22621,0,0,0
1783106891100607,295,-2564,-27736,12043,-21908,0,0,0
1783106891101695,298,-2564,-27883,13395,-21109,0,0,0
1783106891102827,302,-1283,-27971,14694,-20226,0,0,0
1783106891103907,305,0,-28001,15935,-20226,0,0,0
1783106891104990,309,1283,-27971,17113,-19263,0,0,0
1783106891106104,313,2564,-27883,18224,-18225,0,0,0
1783106891107139,316,3840,-27736,18224,-17114,0,0,0
1783106891108221,320,5107,-27531,19262,-15936,0,0,0
1783106891109368,324,6364,-27268,20225,-14695,0,0,0
1783106891110450,327,7608,-27268,21108,-13396,0,0,0
1783106891111532,331,8835,-26947,21907,-12044,0,0,0
1783106891112612,335,10044,-26570,22620,-10645,0,0,0
1783106891113749,339,11231,-26137,23244,-9204,0,0,0
1783106891114835,342,11231,-25649,23776,-7726,0,0,0
1783106891115941,346,12396,-25107,24214,-6218,0,0,0
1783106891117023,349,13534,-24512,24557,-6218,0,0,0
1783106891118103,353,14643,-23866,24802,-4685,0,0,0
1783106891119145,356,15722,-23170,24802,-3134,0,0,0
1783106891120225,360,16768,-22424,24950,-1570,0,0,0
1783106891121308,363,17778,-22424,25000,-1,0,0,0
1783106891122391,366,17778,-21632,24950,1568,0,0,0
1783106891123474,370,18751,-20794,24802,3132,0,0,0
1783106891124557,373,19685,-19913,24557,3132,0,0,0
1783106891125640,377,20577,-18989,24214,4683,0,0,0
1783106891126742,381,21426,-18026,23776,6216,0,0,0
1783106891127831,384,22230,-17025,23776,7724,0,0,0
1783106891128908,388,22987,-15988,23244,9202,0,0,0
1783106891130019,392,23696,-14917,22620,10643,0,0,0
1783106891131102,395,24355,-14917,21907,12042,0,0,0
1783106891132191,399,24962,-13815,21108,13394,0,0,0
1783106891133273,403,25517,-12684,20225,14693,0,0,0
1783106891134360,406,25517,-11526,19262,15934,0,0,0
1783106891135445,410,26019,-10344,18224,17112,0,0,0
1783106891136555,414,26466,-9140,17113,18223,0,0,0
1783106891137602,417,26857,-7917,15935,18223,0,0,0
1783106891138646,421,27192,-6677,14694,19261,0,0,0
1783106891139728,424,27469,-5424,14694,20224,0,0,0
1783106891140811,428,27689,-4159,13395,21107,0,0,0
1783106891141892,431,27851,-4159,12043,21906,0,0,0
1783106891142975,435,27954,-2885,10644,22619,0,0,0
1783106891144059,438,27954,-1605,9203,23243,0,0,0
1783106891145136,441,27998,-322,7725,23243,0,0,0
1783106891146218,445,27983,961,6217,23775,0,0,0
1783106891147307,448,27909,2243,6217,24213,0,0,0
1783106891148391,452,27777,3521,4684,24556,0,0,0
1783106891149468,455,27586,3521,3133,24801,0,0,0
1783106891150549,459,27338,4790,1569,24949,0,0,0
1783106891151630,462,27338,6050,0,24999,0,0,0
1783106891152711,466,27032,7297,-1569,24949,0,0,0
1783106891153794,469,26668,8529,-3133,24949,0,0,0
1783106891154878,473,26249,9742,-4684,24801,0,0,0
1783106891155958,476,25775,10936,-4684,24556,0,0,0
1783106891157041,480,25246,12106,-6217,24213,0,0,0
1783106891158137,483,24665,12106,-7725,23775,0,0,0
1783106891159219,487,24031,13251,-9203,23243,0,0,0
1783106891160301,491,23347,14368,-10644,22619,0,0,0
1783106891161425,495,22614,15454,-12043,21906,0,0,0
1783106891162578,499,21833,16508,-13395,21107,0,0,0
1783106891163659,502,21833,17528,-14694,20224,0,0,0
1783106891164744,506,21007,18510,-15935,19261,0,0,0
1783106891165841,510,20136,19454,-17113,18223,0,0,0
1783106891166923,513,19223,20357,-18224,18223,0,0,0
1783106891167982,517,18269,21217,-19262,17112,0,0,0
1783106891169122,521,17277,22032,-20225,15934,0,0,0
1783106891170205,524,16249,22801,-20225,14693,0,0,0
1783106891171250,527,15187,22801,-21108,13394,0,0,0
1783106891172330,531,14092,23522,-21907,12042,0,0,0
1783106891173412,535,12968,24194,-22620,10643,0,0,0
1783106891174494,538,12968,24814,-23244,9202,0,0,0
1783106891175579,542,11817,25383,-23776,7724,0,0,0
1783106891176666,545,10640,25898,-24214,7724,0,0,0
1783106891177751,549,9442,26358,-24557,6216,0,0,0
1783106891178835,553,8223,26764,-24802,4683,0,0,0
1783106891179946,557,6988,27112,-24950,3132,0,0,0
1783106891181028,560,5737,27404,-24950,1568,0,0,0
1783106891182143,564,4475,27639,-25000,-1,0,0,0
1783106891183191,567,3203,27639,-24950,-1570,0,0,0
1783106891184276,570,3203,27815,-24802,-3134,0,0,0
1783106891185362,574,1924,27932,-24557,-4685,0,0,0
1783106891186442,577,642,27991,-24214,-4685,0,0,0
1783106891187525,581,-642,27991,-23776,-7726,0,0,0
1783106891188604,585,-1924,27932,-23244,-9204,0,0,0
1783106891189688,588,-3203,27815,-22620,-9204,0,0,0
1783106891190770,592,-4475,27639,-21907,-10645,0,0,0
1783106891191851,595,-5737,27404,-21907,-12044,0,0,0
1783106891192957,599,-6988,27112,-21108,-13396,0,0,0
1783106891194039,602,-8223,27112,-20225,-14695,0,0,0
1783106891195125,606,-9442,26764,-19262,-15936,0,0,0
1783106891196210,609,-9442,26358,-18224,-17114,0,0,0
1783106891197301,612,-10640,25898,-17113,-17114,0,0,0
1783106891198383,616,-11817,25383,-15935,-18225,0,0,0
1783106891199469,620,-12968,24814,-14694,-19263,0,0,0
1783106891200553,623,-14092,24194,-14694,-20226,0,0,0
1783106891201636,627,-15187,23522,-13395,-21109,0,0,0
1783106891202777,631,-16249,22801,-12043,-21908,0,0,0
1783106891203859,634,-17277,22801,-10644,-22621,0,0,0
1783106891204940,638,-18269,22032,-9203,-23245,0,0,0
1783106891206076,642,-19223,21217,-7725,-23777,0,0,0
1783106891207193,646,-20136,20357,-6217,-24215,0,0,0
1783106891208281,649,-20136,19454,-4684,-24558,0,0,0
