realtime_us,id,x,y,z,r,u,v,buttons,pov
1783141533897250,0,32767,32767,32767,32767,32767,0,0,65535
1783141533898326,0,45736,7953,32768,28084,8211,0,0,65535
1783141533900436,0,44585,7384,32768,29635,7966,0,0,65535
1783141533901506,0,43408,6869,32768,31199,7818,0,0,65535
1783141533902577,0,42210,6409,32768,32768,7768,0,0,65535
1783141533903648,0,39756,5655,32768,35901,7966,0,0,65535
1783141533904681,0,38505,5363,32768,37452,8211,0,0,65535
1783141533905751,0,37243,5128,32768,38985,8554,0,0,65535
1783141533906821,0,35971,4952,32768,40493,8992,0,0,65535
1783141533907898,0,34692,4835,32768,41971,9524,0,0,65535
1783141533908965,0,33410,4776,32768,43412,10148,0,0,65535
1783141533910036,0,32126,4776,32768,44811,10861,0,0,65535
1783141533911106,0,30844,4835,32768,46163,11660,0,0,65535
1783141533912176,0,29565,4952,32768,47462,12543,0,0,65535
1783141533913247,0,28293,5128,32768,48703,13506,0,0,65535
1783141533914315,0,25780,5655,32768,50992,15655,0,0,65535
1783141533915369,0,24545,6003,32768,52030,16833,0,0,65535
1783141533916430,0,23326,6409,32768,52993,18074,0,0,65535
1783141533917500,0,22128,6869,32768,53876,19373,0,0,65535
1783141533918569,0,20951,7384,32768,54675,20725,0,0,65535
1783141533919750,0,19800,7953,32768,55388,22124,0,0,65535
1783141533920831,0,18676,8573,32768,56012,23565,0,0,65535
1783141533921900,0,17581,9245,32768,56544,25043,0,0,65535
1783141533922972,0,16519,9966,32768,56982,26551,0,0,65535
1783141533924040,0,14499,11550,32768,57570,29635,0,0,65535
1783141533925111,0,13545,12410,32768,57718,31199,0,0,65535
1783141533926154,0,12632,13313,32768,57768,32768,0,0,65535
1783141533927221,0,11761,14257,32768,57718,34337,0,0,65535
1783141533928293,0,10935,15239,32768,57570,35901,0,0,65535
1783141533929367,0,10154,16259,32768,57325,37452,0,0,65535
1783141533930438,0,9421,17313,32768,56982,38985,0,0,65535
1783141533931506,0,8737,18399,32768,56544,40493,0,0,65535
1783141533932608,0,8103,19516,32768,56012,41971,0,0,65535
1783141533933676,0,7522,20661,32768,55388,43412,0,0,65535
1783141533934741,0,6519,23025,32768,53876,46163,0,0,65535
1783141533936874,0,6100,24238,32768,52993,47462,0,0,65535
1783141533937947,0,5736,25470,32768,52030,48703,0,0,65535
1783141533939016,0,5430,26717,32768,50992,49881,0,0,65535
1783141533940086,0,5182,27977,32768,49881,50992,0,0,65535
1783141533941154,0,4991,29246,32768,48703,52030,0,0,65535
1783141533942222,0,4859,30524,32768,47462,52993,0,0,65535
1783141533943290,0,4785,31806,32768,46163,53876,0,0,65535
1783141533944367,0,4770,33089,32768,44811,54675,0,0,65535
1783141533945434,0,4814,34372,32768,43412,55388,0,0,65535
1783141533946502,0,5079,36926,32768,40493,56544,0,0,65535
1783141533947571,0,5299,38191,32768,38985,56982,0,0,65535
1783141533948641,0,5576,39444,32768,37452,57325,0,0,65535
1783141533949710,0,5911,40684,32768,35901,57570,0,0,65535
1783141533950777,0,6302,41907,32768,34337,57718,0,0,65535
1783141533951847,0,6749,43111,32768,32768,57768,0,0,65535
1783141533952915,0,7251,44293,32768,31199,57718,0,0,65535
1783141533953984,0,7806,45451,32768,29635,57570,0,0,65535
1783141533955054,0,8413,46582,32768,28084,57325,0,0,65535
1783141533956122,0,9072,47684,32768,26551,56982,0,0,65535
1783141533957191,0,10538,49792,32768,23565,56012,0,0,65535
1783141533958259,0,11342,50793,32768,22124,55388,0,0,65535
1783141533959330,0,12191,51756,32768,20725,54675,0,0,65535
1783141533960368,0,13083,52680,32768,19373,53876,0,0,65535
1783141533961441,0,14017,53561,32768,18074,52993,0,0,65535
1783141533962510,0,14990,54399,32768,16833,52030,0,0,65535
1783141533963578,0,16000,55191,32768,15655,50992,0,0,65535
1783141533964647,0,17046,55937,32768,14544,49881,0,0,65535
1783141533965713,0,18125,56633,32768,13506,48703,0,0,65535
1783141533966781,0,19234,57279,32768,12543,47462,0,0,65535
1783141533967851,0,21537,58416,32768,10861,44811,0,0,65535
1783141533968921,0,22724,58904,32768,10148,43412,0,0,65535
1783141533969992,0,23933,59337,32768,9524,41971,0,0,65535
1783141533971087,0,25160,59714,32768,8992,40493,0,0,65535
1783141533972222,0,26404,60035,32768,8554,38985,0,0,65535
1783141533973341,0,27661,60298,32768,8211,37452,0,0,65535
1783141533974457,0,28928,60503,32768,7966,35901,0,0,65535
1783141533975588,0,30204,60650,32768,7818,34337,0,0,65535
1783141533976656,0,31485,60738,32768,7768,32768,0,0,65535
1783141533977847,0,34051,60738,32768,7966,29635,0,0,65535
1783141533978917,0,35332,60650,32768,8211,28084,0,0,65535
1783141533980037,0,36608,60503,32768,8554,26551,0,0,65535
1783141533981106,0,37875,60298,32768,8992,25043,0,0,65535
1783141533983302,0,40376,59714,32768,10148,22124,0,0,65535
1783141533984403,0,41603,59337,32768,10861,20725,0,0,65535
1783141533985474,0,42812,58904,32768,11660,19373,0,0,65535
1783141533987610,0,43999,58416,32768,12543,18074,0,0,65535
1783141533988679,0,45164,57874,32768,13506,16833,0,0,65535
1783141533989751,0,47411,56633,32768,15655,14544,0,0,65535
1783141533990819,0,48490,55937,32768,16833,13506,0,0,65535
1783141533991888,0,49536,55191,32768,18074,12543,0,0,65535
1783141533992956,0,50546,54399,32768,19373,11660,0,0,65535
1783141533994026,0,51519,53561,32768,20725,10861,0,0,65535
1783141533995096,0,52453,52680,32768,22124,10148,0,0,65535
1783141533996164,0,53345,51756,32768,23565,9524,0,0,65535
1783141533997230,0,54194,50793,32768,25043,8992,0,0,65535
1783141533998298,0,54998,49792,32768,26551,8554,0,0,65535
1783141533999368,0,55755,48755,32768,28084,8211,0,0,65535
1783141534000438,0,57123,46582,32768,31199,7818,0,0,65535
1783141534001506,0,57730,45451,32768,32768,7768,0,0,65535
1783141534002574,0,58285,44293,32768,34337,7818,0,0,65535
1783141534003643,0,58787,43111,32768,35901,7966,0,0,65535
1783141534004712,0,59234,41907,32768,37452,8211,0,0,65535
1783141534005780,0,59625,40684,32768,38985,8554,0,0,65535
1783141534006848,0,59960,39444,32768,40493,8992,0,0,65535
1783141534007918,0,60237,38191,32768,41971,9524,0,0,65535
1783141534008986,0,60457,36926,32768,43412,10148,0,0,65535
1783141534010055,0,60619,35652,32768,44811,10861,0,0,65535
1783141534011123,0,60766,33089,32768,47462,12543,0,0,65535
1783141534012192,0,60751,31806,32768,48703,13506,0,0,65535
1783141534013262,0,60677,30524,32768,49881,14544,0,0,65535
1783141534014329,0,60545,29246,32768,50992,15655,0,0,65535
1783141534015370,0,60354,27977,32768,52030,16833,0,0,65535
1783141534016439,0,60106,26717,32768,52993,18074,0,0,65535
1783141534017515,0,59800,25470,32768,53876,19373,0,0,65535
1783141534020606,0,59017,23025,32768,55388,22124,0,0,65535
1783141534021676,0,58014,20661,32768,56544,25043,0,0,65535
1783141534022749,0,57433,19516,32768,56982,26551,0,0,65535
1783141534023820,0,56799,18399,32768,57325,28084,0,0,65535
1783141534024893,0,56115,17313,32768,57570,29635,0,0,65535
1783141534025968,0,55382,16259,32768,57718,31199,0,0,65535
1783141534027038,0,54601,15239,32768,57768,32768,0,0,65535
1783141534028111,0,53775,14257,32768,57718,34337,0,0,65535
1783141534029185,0,52904,13313,32768,57570,35901,0,0,65535
1783141534030256,0,51037,11550,32768,56982,38985,0,0,65535
1783141534031326,0,50045,10735,32768,56544,40493,0,0,65535
1783141534032370,0,49017,9966,32768,56012,41971,0,0,65535
1783141534033443,0,47955,9245,32768,55388,43412,0,0,65535
1783141534034516,0,46860,8573,32768,54675,44811,0,0,65535
1783141534035584,0,45736,7953,32768,53876,46163,0,0,65535
