realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106934866581,0,0,0,0,0,0,0,0
1783106938274618,1,0,-28001,0,-25001,0,0,0
1783106938275700,2,1283,-27971,1569,-24951,0,0,0
1783106938276781,3,2564,-27883,3133,-24803,0,0,0
1783106938277860,4,3840,-27736,4684,-24558,0,0,0
1783106938278941,5,5107,-27531,6217,-24215,0,0,0
1783106938280025,6,7608,-26947,9203,-23245,0,0,0
1783106938281105,7,8835,-26570,10644,-22621,0,0,0
1783106938282142,8,10044,-26137,12043,-21908,0,0,0
1783106938283226,9,11231,-25649,13395,-21109,0,0,0
1783106938284309,10,12396,-25107,14694,-20226,0,0,0
1783106938285390,11,13534,-24512,15935,-19263,0,0,0
1783106938286472,12,14643,-23866,17113,-18225,0,0,0
1783106938287556,13,15722,-23170,18224,-17114,0,0,0
1783106938288640,14,16768,-22424,19262,-15936,0,0,0
1783106938289727,15,17778,-21632,20225,-14695,0,0,0
1783106938290810,16,19685,-19913,21907,-12044,0,0,0
1783106938291894,17,20577,-18989,22620,-10645,0,0,0
1783106938292977,18,21426,-18026,23244,-9204,0,0,0
1783106938294062,19,22230,-17025,23776,-7726,0,0,0
1783106938295142,20,22987,-15988,24214,-6218,0,0,0
1783106938296225,21,23696,-14917,24557,-4685,0,0,0
1783106938297308,22,24355,-13815,24802,-3134,0,0,0
1783106938298361,23,24962,-12684,24950,-1570,0,0,0
1783106938299442,24,25517,-11526,25000,-1,0,0,0
1783106938300523,25,26019,-10344,24950,1568,0,0,0
1783106938301605,27,26857,-7917,24557,4683,0,0,0
1783106938302692,28,27192,-6677,24214,6216,0,0,0
1783106938303773,29,27469,-5424,23776,7724,0,0,0
1783106938304855,30,27689,-4159,23244,9202,0,0,0
1783106938305941,31,27851,-2885,22620,10643,0,0,0
1783106938307021,32,27954,-1605,21907,12042,0,0,0
1783106938308101,33,27998,-322,21108,13394,0,0,0
1783106938309185,34,27983,961,20225,14693,0,0,0
1783106938310284,35,27909,2243,19262,15934,0,0,0
1783106938311399,36,27777,3521,18224,17112,0,0,0
1783106938312481,37,27338,6050,15935,19261,0,0,0
1783106938313577,38,27032,7297,14694,20224,0,0,0
1783106938314754,39,26668,8529,13395,21107,0,0,0
1783106938315836,40,26249,9742,12043,21906,0,0,0
1783106938316919,41,25775,10936,10644,22619,0,0,0
1783106938318006,42,25246,12106,9203,23243,0,0,0
1783106938319086,43,24665,13251,7725,23775,0,0,0
1783106938320175,44,24031,14368,6217,24213,0,0,0
1783106938321320,45,23347,15454,4684,24556,0,0,0
1783106938322400,46,21833,17528,1569,24949,0,0,0
1783106938323482,47,21007,18510,0,24999,0,0,0
1783106938324563,48,20136,19454,-1569,24949,0,0,0
1783106938325647,49,19223,20357,-3133,24801,0,0,0
1783106938326746,50,18269,21217,-4684,24556,0,0,0
1783106938327903,51,17277,22032,-6217,24213,0,0,0
1783106938328986,52,16249,22801,-7725,23775,0,0,0
1783106938330132,53,15187,23522,-9203,23243,0,0,0
1783106938331236,54,14092,24194,-10644,22619,0,0,0
1783106938332387,55,12968,24814,-12043,21906,0,0,0
1783106938333466,56,10640,25898,-14694,20224,0,0,0
1783106938334545,57,9442,26358,-15935,19261,0,0,0
1783106938335627,58,8223,26764,-17113,18223,0,0,0
1783106938336708,59,6988,27112,-18224,17112,0,0,0
1783106938337786,60,5737,27404,-19262,15934,0,0,0
1783106938338872,61,4475,27639,-20225,14693,0,0,0
1783106938339972,62,3203,27815,-21108,13394,0,0,0
1783106938341054,63,1924,27932,-21907,12042,0,0,0
1783106938342178,64,642,27991,-22620,10643,0,0,0
1783106938343285,65,-642,27991,-23244,9202,0,0,0
1783106938344368,66,-3203,27815,-24214,6216,0,0,0
1783106938345475,67,-4475,27639,-24557,4683,0,0,0
1783106938346589,68,-5737,27404,-24802,3132,0,0,0
1783106938347676,69,-6988,27112,-24950,1568,0,0,0
1783106938348759,70,-8223,26764,-25000,-1,0,0,0
1783106938349844,71,-9442,26358,-24950,-1570,0,0,0
1783106938350951,72,-10640,25898,-24802,-3134,0,0,0
1783106938352074,73,-11817,25383,-24557,-4685,0,0,0
1783106938353142,74,-12968,24814,-24214,-6218,0,0,0
1783106938354292,75,-14092,24194,-23776,-7726,0,0,0
1783106938355451,76,-15187,23522,-23244,-9204,0,0,0
1783106938356530,78,-17277,22032,-21907,-12044,0,0,0
1783106938357610,79,-18269,21217,-21108,-13396,0,0,0
1783106938358692,80,-19223,20357,-20225,-14695,0,0,0
1783106938359773,81,-20136,19454,-19262,-15936,0,0,0
1783106938360883,82,-21007,18510,-18224,-17114,0,0,0
1783106938361999,83,-21833,17528,-17113,-18225,0,0,0
1783106938363093,84,-22614,16508,-15935,-19263,0,0,0
1783106938364185,85,-23347,15454,-14694,-20226,0,0,0
1783106938365284,86,-24031,14368,-13395,-21109,0,0,0
1783106938367443,88,-25775,10936,-9203,-23245,0,0,0
1783106938368568,89,-26249,9742,-7725,-23777,0,0,0
1783106938369649,90,-26668,8529,-6217,-24215,0,0,0
1783106938370733,91,-27032,7297,-4684,-24558,0,0,0
1783106938371867,92,-27338,6050,-3133,-24803,0,0,0
1783106938372979,93,-27586,4790,-1569,-24951,0,0,0
1783106938374098,94,-27777,3521,0,-25001,0,0,0
1783106938375162,95,-27909,2243,1569,-24951,0,0,0
1783106938376283,96,-27983,961,3133,-24803,0,0,0
1783106938377393,97,-27954,-1605,6217,-24215,0,0,0
1783106938378475,98,-27851,-2885,7725,-23777,0,0,0
1783106938379561,99,-27689,-4159,9203,-23245,0,0,0
1783106938380674,100,-27469,-5424,10644,-22621,0,0,0
1783106938381754,101,-27192,-6677,12043,-21908,0,0,0
1783106938382858,102,-26857,-7917,13395,-21109,0,0,0
1783106938383940,103,-26466,-9140,14694,-20226,0,0,0
1783106938385049,104,-26019,-10344,15935,-19263,0,0,0
1783106938386162,105,-25517,-11526,17113,-18225,0,0,0
1783106938387303,106,-24962,-12684,18224,-17114,0,0,0
1783106938388383,107,-24355,-13815,19262,-15936,0,0,0
1783106938389556,109,-22987,-15988,21108,-13396,0,0,0
1783106938390636,110,-22230,-17025,21907,-12044,0,0,0
1783106938391717,111,-21426,-18026,22620,-10645,0,0,0
1783106938392796,112,-20577,-18989,23244,-9204,0,0,0
1783106938393876,113,-19685,-19913,23776,-7726,0,0,0
1783106938394960,114,-18751,-20794,24214,-6218,0,0,0
1783106938396042,115,-17778,-21632,24557,-4685,0,0,0
1783106938397155,116,-16768,-22424,24802,-3134,0,0,0
1783106938398271,117,-15722,-23170,24950,-1570,0,0,0
1783106938399393,118,-13534,-24512,24950,1568,0,0,0
1783106938400513,119,-12396,-25107,24802,3132,0,0,0
1783106938401596,120,-11231,-25649,24557,4683,0,0,0
1783106938402675,121,-10044,-26137,24214,6216,0,0,0
1783106938403759,122,-8835,-26570,23776,7724,0,0,0
1783106938404860,123,-7608,-26947,23244,9202,0,0,0
1783106938405943,124,-6364,-27268,22620,10643,0,0,0
1783106938407078,125,-5107,-27531,21907,12042,0,0,0
1783106938408170,126,-3840,-27736,21108,13394,0,0,0
1783106938409275,127,-2564,-27883,20225,14693,0,0,0
1783106938410357,128,-1283,-27971,19262,15934,0,0,0
1783106938411443,129,1283,-27971,17113,18223,0,0,0
1783106938413635,130,2564,-27883,15935,19261,0,0,0
1783106938414809,132,5107,-27531,13395,21107,0,0,0
1783106938415889,133,6364,-27268,12043,21906,0,0,0
1783106938416981,134,7608,-26947,10644,22619,0,0,0
1783106938418064,135,8835,-26570,9203,23243,0,0,0
1783106938419182,136,10044,-26137,7725,23775,0,0,0
1783106938420291,137,11231,-25649,6217,24213,0,0,0
1783106938421394,138,13534,-24512,3133,24801,0,0,0
1783106938422475,139,14643,-23866,1569,24949,0,0,0
1783106938423557,140,15722,-23170,0,24999,0,0,0
1783106938424660,141,16768,-22424,-1569,24949,0,0,0
