realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142925842886,0,1,0,0,0,0,0,0,0,0
1783142925842902,1,1,0,0,0,0,0,0,0,0
1783142926189836,0,1,1,0,-1,0,-1,0,0,4096
1783142926269293,1,1,1,0,-1,0,-1,0,0,8192
1783142926270374,0,1,2,0,-1,0,-1,0,0,0
1783142926349671,0,1,3,0,-1,0,-1,0,0,0
1783142926349686,1,1,2,0,-1,0,-1,0,0,0
1783142926350753,0,1,5,0,-28001,0,-1,0,0,0
1783142926350811,1,1,5,22000,-1,0,-1,0,0,0
1783142926351880,0,1,6,0,-28001,0,-25001,0,0,0
1783142926351889,1,1,6,22000,-1,20000,-1,0,0,0
1783142926354030,0,1,7,0,-28001,0,-25001,0,0,0
1783142926354041,1,1,7,21981,-1,20000,-1,0,0,0
1783142926355109,0,1,9,1283,-27971,0,-25001,0,0,0
1783142926355117,1,1,9,21981,-908,20000,-1,0,0,0
1783142926356188,0,1,12,1283,-27971,1489,-24956,0,0,0
1783142926356229,1,1,12,21981,-908,19974,-1009,0,0,0
1783142926357295,0,1,13,2564,-27971,1489,-24956,0,0,0
1783142926357305,1,1,13,21925,-908,19974,-1009,0,0,0
1783142926358374,0,1,16,2564,-27883,2974,-24823,0,0,0
1783142926358384,1,1,16,21925,-1815,19898,-2015,0,0,0
1783142926361599,0,1,17,3840,-27883,2974,-24823,0,0,0
1783142926361609,1,1,17,21831,-1815,19898,-2015,0,0,0
1783142926362676,0,1,19,3840,-27736,4447,-24823,0,0,0
1783142926362689,1,1,19,21831,-2718,19771,-2015,0,0,0
1783142926363755,0,1,20,3840,-27736,4447,-24602,0,0,0
1783142926363763,1,1,20,21831,-2718,19771,-3016,0,0,0
1783142926365906,0,1,21,5107,-27736,4447,-24602,0,0,0
1783142926365919,1,1,21,21700,-2718,19771,-3016,0,0,0
1783142926367049,0,1,24,5107,-27531,5905,-24293,0,0,0
1783142926367059,1,1,23,21700,-3616,19594,-3016,0,0,0
1783142926368131,1,1,24,21700,-3616,19594,-4009,0,0,0
1783142926370277,0,1,25,6364,-27531,5905,-24293,0,0,0
1783142926370289,1,1,25,21533,-3616,19594,-4009,0,0,0
1783142926371356,0,1,28,6364,-27268,7342,-23898,0,0,0
1783142926371389,1,1,28,21533,-4509,19367,-4992,0,0,0
1783142926373523,0,1,29,7608,-27268,7342,-23898,0,0,0
1783142926373533,1,1,29,21328,-4509,19367,-4992,0,0,0
1783142926374598,0,1,31,7608,-26947,8753,-23898,0,0,0
1783142926374606,1,1,32,21328,-5393,19090,-5962,0,0,0
1783142926375671,0,1,32,7608,-26947,8753,-23418,0,0,0
1783142926377819,0,1,33,8835,-26947,8753,-23418,0,0,0
1783142926377829,1,1,33,21088,-5393,19090,-5962,0,0,0
1783142926378895,0,1,35,8835,-26570,10133,-23418,0,0,0
1783142926378903,1,1,35,21088,-6269,18765,-5962,0,0,0
1783142926379969,0,1,36,8835,-26570,10133,-22855,0,0,0
1783142926379978,1,1,36,21088,-6269,18765,-6917,0,0,0
1783142926382141,1,1,37,20811,-6269,18765,-6917,0,0,0
1783142926383209,0,1,39,10044,-26137,11477,-22855,0,0,0
1783142926383219,1,1,39,20811,-7134,18393,-6917,0,0,0
1783142926384285,0,1,40,10044,-26137,11477,-22210,0,0,0
1783142926384293,1,1,40,20811,-7134,18393,-7855,0,0,0
1783142926386477,0,1,41,11231,-26137,11477,-22210,0,0,0
1783142926386488,1,1,41,20499,-7134,18393,-7855,0,0,0
1783142926387560,0,1,42,11231,-25649,11477,-22210,0,0,0
1783142926387575,1,1,43,20499,-7987,17973,-7855,0,0,0
1783142926388642,0,1,44,11231,-25649,12780,-21487,0,0,0
1783142926388651,1,1,44,20499,-7987,17973,-8773,0,0,0
1783142926389775,0,1,45,12396,-25649,12780,-21487,0,0,0
1783142926389829,1,1,45,20152,-7987,17973,-8773,0,0,0
1783142926390897,0,1,47,12396,-25107,14037,-21487,0,0,0
1783142926390909,1,1,47,20152,-8826,17508,-8773,0,0,0
1783142926391977,0,1,48,12396,-25107,14037,-20687,0,0,0
1783142926391986,1,1,48,20152,-8826,17508,-9668,0,0,0
1783142926394133,0,1,49,13534,-25107,14037,-20687,0,0,0
1783142926395211,0,1,51,13534,-24512,15245,-20687,0,0,0
1783142926395220,1,1,51,19771,-9650,16998,-9668,0,0,0
1783142926396285,0,1,52,13534,-24512,15245,-19814,0,0,0
1783142926396294,1,1,52,19771,-9650,16998,-10538,0,0,0
1783142926399520,0,1,55,14643,-23866,16399,-19814,0,0,0
1783142926399530,1,1,55,19355,-10457,16445,-10538,0,0,0
1783142926400597,0,1,56,14643,-23866,16399,-18870,0,0,0
1783142926400605,1,1,56,19355,-10457,16445,-11382,0,0,0
1783142926402761,1,1,57,18908,-10457,16445,-11382,0,0,0
1783142926403830,0,1,59,15722,-23170,17494,-18870,0,0,0
1783142926403861,1,1,60,18908,-11247,15850,-12197,0,0,0
1783142926404925,0,1,60,15722,-23170,17494,-17860,0,0,0
1783142926406068,0,1,61,16768,-23170,17494,-17860,0,0,0
1783142926406137,1,1,61,18427,-11247,15850,-12197,0,0,0
1783142926407277,0,1,64,16768,-22424,18527,-16785,0,0,0
1783142926407287,1,1,63,18427,-12018,15215,-12197,0,0,0
1783142926408359,1,1,64,18427,-12018,15215,-12981,0,0,0
1783142926410499,0,1,65,17778,-22424,18527,-16785,0,0,0
1783142926410513,1,1,65,17916,-12018,15215,-12981,0,0,0
1783142926411584,0,1,67,17778,-21632,19494,-16785,0,0,0
1783142926411596,1,1,67,17916,-12768,14541,-12981,0,0,0
1783142926412661,0,1,68,17778,-21632,19494,-15652,0,0,0
1783142926412669,1,1,68,17916,-12768,14541,-13732,0,0,0
1783142926414818,1,1,69,17374,-12768,14541,-13732,0,0,0
1783142926415890,0,1,71,18751,-20794,20392,-15652,0,0,0
1783142926415901,1,1,72,17374,-13496,13830,-14447,0,0,0
1783142926416967,0,1,72,18751,-20794,20392,-14462,0,0,0
1783142926418098,1,1,73,16802,-13496,13830,-14447,0,0,0
1783142926419168,0,1,75,19685,-19913,21218,-14462,0,0,0
1783142926419177,1,1,75,16802,-14202,13084,-14447,0,0,0
1783142926420242,0,1,76,19685,-19913,21218,-13221,0,0,0
1783142926420250,1,1,76,16802,-14202,13084,-15126,0,0,0
1783142926422408,1,1,77,16202,-14202,13084,-15126,0,0,0
1783142926423476,0,1,78,20577,-18989,21218,-13221,0,0,0
1783142926423487,1,1,79,16202,-14883,12305,-15126,0,0,0
1783142926424554,0,1,80,20577,-18989,21968,-11934,0,0,0
1783142926424563,1,1,80,16202,-14883,12305,-15767,0,0,0
1783142926427755,0,1,82,21426,-18026,21968,-11934,0,0,0
1783142926427764,1,1,82,15574,-15539,12305,-15767,0,0,0
1783142926428832,0,1,84,21426,-18026,22640,-10603,0,0,0
1783142926428843,1,1,84,15574,-15539,11494,-16367,0,0,0
1783142926432063,0,1,87,22230,-17025,23231,-10603,0,0,0
1783142926432075,1,1,86,14919,-16168,11494,-16367,0,0,0
1783142926433143,0,1,88,22230,-17025,23231,-9236,0,0,0
1783142926433152,1,1,88,14919,-16168,10654,-16926,0,0,0
1783142926435269,0,1,90,22987,-15988,23231,-9236,0,0,0
1783142926435279,1,1,90,14239,-16770,10654,-16926,0,0,0
1783142926436345,0,1,92,22987,-15988,23740,-7835,0,0,0
1783142926436354,1,1,92,14239,-16770,9787,-17442,0,0,0
1783142926439518,0,1,94,23696,-14917,23740,-7835,0,0,0
1783142926439529,1,1,94,13535,-17344,9787,-17442,0,0,0
1783142926440595,0,1,96,23696,-14917,24165,-6406,0,0,0
1783142926440603,1,1,96,13535,-17344,8895,-17913,0,0,0
1783142926443816,0,1,98,24355,-13815,24165,-6406,0,0,0
1783142926443826,1,1,98,12808,-17887,8895,-17913,0,0,0
1783142926444891,0,1,100,24355,-13815,24504,-4955,0,0,0
