event,realtime_us,pad,value
created,1783142950359528,1,0
created,1783142950359541,2,0
a,1783142957757791,1,1
a,1783142957837877,1,0
b,1783142957837893,2,1
b,1783142957917964,2,0
x,1783142958330134,1,1
x,1783142958371373,1,0
y,1783142958639439,2,1
y,1783142958680756,2,0
dpad_right,1783142958949284,1,1
dpad_right,1783142958990503,1,0
dpad_up,1783142959361467,2,1
dpad_up,1783142959402629,2,0
lt,1783142959773764,1,255
lt,1783142959876750,1,0
rt,1783142960186073,2,255
rt,1783142960288977,2,0
neutral,1783142963071065,1,0
neutral,1783142963071074,2,0
ff_upload,1783142964830423,1,-1018137296
ff_play,1783142964831491,1,0
ff_upload,1783142964831496,2,-1018137296
ff_play,1783142964832558,2,0
removed,1783142965193449,1,0
recreated,1783142966193966,1,0
reconnect_a,1783142968194068,1,1
reconnect_a,1783142968274511,1,0
ff_upload,1783142968274531,2,0
ff_play,1783142968275600,2,0
