event,realtime_us,pad,value
created,1783107612433662,1,0
created,1783107612433673,2,0
a,1783107619882299,1,1
a,1783107619962393,1,0
b,1783107619962409,2,1
b,1783107620042485,2,0
x,1783107620470661,1,1
x,1783107620513447,1,0
y,1783107620791360,2,1
y,1783107620834280,2,0
dpad_right,1783107621112432,1,1
dpad_right,1783107621155206,1,0
dpad_up,1783107621539775,2,1
dpad_up,1783107621582585,2,0
lt,1783107621967355,1,255
lt,1783107622074193,1,0
rt,1783107622394525,2,255
rt,1783107622501626,2,0
neutral,1783107625387494,1,0
neutral,1783107625387507,2,0
ff_upload,1783107625906406,1,-1018137296
ff_play,1783107625907451,1,0
ff_upload,1783107625907460,2,-1018137296
ff_play,1783107625908528,2,0
ff_upload,1783107626405381,1,0
ff_play,1783107626406458,1,0
ff_upload,1783107626406466,2,0
ff_play,1783107626407538,2,0
removed,1783107627523279,1,0
recreated,1783107628523651,1,0
reconnect_a,1783107630523737,1,1
reconnect_a,1783107630603819,1,0
