realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783107618009006,0,1,0,0,0,0,0,0,0,0
1783107618009026,1,1,0,0,0,0,0,0,0,0
1783107619883912,0,1,1,0,-1,0,-1,0,0,4096
1783107619963987,0,1,2,0,-1,0,-1,0,0,0
1783107619964005,1,1,1,0,-1,0,-1,0,0,8192
1783107620043913,0,1,3,0,-1,0,-1,0,0,0
1783107620043934,1,1,2,0,-1,0,-1,0,0,0
1783107620045017,0,1,5,0,-28001,0,-1,0,0,0
1783107620045037,1,1,4,22000,-1,0,-1,0,0,0
1783107620046130,0,1,7,0,-28001,0,-25001,0,0,0
1783107620046146,1,1,6,22000,-1,20000,-1,0,0,0
1783107620047230,0,1,9,1283,-27971,0,-25001,0,0,0
1783107620047247,1,1,7,21981,-1,20000,-1,0,0,0
1783107620048337,0,1,11,1283,-27971,1489,-25001,0,0,0
1783107620048355,1,1,9,21981,-908,20000,-1,0,0,0
1783107620049471,0,1,13,2564,-27971,1489,-24956,0,0,0
1783107620049556,1,1,11,21981,-908,19974,-1,0,0,0
1783107620050640,0,1,14,2564,-27883,1489,-24956,0,0,0
1783107620050656,1,1,13,21925,-908,19974,-1009,0,0,0
1783107620051740,0,1,17,3840,-27883,2974,-24823,0,0,0
1783107620051760,1,1,14,21925,-1815,19974,-1009,0,0,0
1783107620052842,0,1,19,3840,-27736,4447,-24823,0,0,0
1783107620052863,1,1,16,21925,-1815,19898,-2015,0,0,0
1783107620053951,0,1,21,5107,-27736,4447,-24602,0,0,0
1783107620053969,1,1,17,21831,-1815,19898,-2015,0,0,0
1783107620055054,0,1,23,5107,-27531,5905,-24602,0,0,0
1783107620055076,1,1,19,21831,-2718,19771,-2015,0,0,0
1783107620056139,0,1,25,6364,-27531,5905,-24293,0,0,0
1783107620056159,1,1,21,21700,-2718,19771,-3016,0,0,0
1783107620057203,0,1,27,6364,-27268,7342,-24293,0,0,0
1783107620057219,1,1,22,21700,-3616,19771,-3016,0,0,0
1783107620058305,0,1,29,7608,-27268,7342,-23898,0,0,0
1783107620058323,1,1,24,21700,-3616,19594,-4009,0,0,0
1783107620059406,0,1,30,7608,-26947,7342,-23898,0,0,0
1783107620059423,1,1,26,21533,-4509,19594,-4009,0,0,0
1783107620060506,0,1,32,7608,-26947,8753,-23418,0,0,0
1783107620060526,1,1,27,21533,-4509,19367,-4009,0,0,0
1783107620061608,0,1,34,8835,-26570,8753,-23418,0,0,0
1783107620061623,1,1,29,21328,-4509,19367,-4992,0,0,0
1783107620062705,0,1,36,8835,-26570,10133,-22855,0,0,0
1783107620062722,1,1,31,21328,-5393,19090,-4992,0,0,0
1783107620063806,0,1,38,10044,-26137,10133,-22855,0,0,0
1783107620063822,1,1,33,21088,-5393,19090,-5962,0,0,0
1783107620064902,0,1,40,10044,-26137,11477,-22210,0,0,0
1783107620064918,1,1,35,21088,-6269,18765,-5962,0,0,0
1783107620066003,0,1,41,11231,-26137,11477,-22210,0,0,0
1783107620066023,1,1,37,20811,-6269,18765,-6917,0,0,0
1783107620067107,0,1,43,11231,-25649,12780,-22210,0,0,0
1783107620067131,1,1,39,20811,-7134,18393,-6917,0,0,0
1783107620068214,0,1,45,12396,-25649,12780,-21487,0,0,0
1783107620068234,1,1,40,20811,-7134,18393,-7855,0,0,0
1783107620069319,0,1,48,12396,-25107,14037,-20687,0,0,0
1783107620069334,1,1,42,20499,-7987,18393,-7855,0,0,0
1783107620070418,0,1,49,13534,-25107,14037,-20687,0,0,0
1783107620070434,1,1,44,20499,-7987,17973,-8773,0,0,0
1783107620071519,0,1,51,13534,-24512,15245,-20687,0,0,0
1783107620071541,1,1,46,20152,-8826,17973,-8773,0,0,0
1783107620072624,0,1,53,14643,-24512,15245,-19814,0,0,0
1783107620072641,1,1,48,20152,-8826,17508,-9668,0,0,0
1783107620073727,0,1,55,14643,-23866,16399,-19814,0,0,0
1783107620074824,0,1,57,15722,-23866,16399,-18870,0,0,0
1783107620074843,1,1,50,19771,-9650,17508,-9668,0,0,0
1783107620076001,0,1,59,15722,-23170,17494,-18870,0,0,0
1783107620076023,1,1,52,19771,-9650,16998,-10538,0,0,0
1783107620077065,0,1,60,15722,-23170,17494,-17860,0,0,0
1783107620077084,1,1,54,19355,-10457,16998,-10538,0,0,0
1783107620078142,0,1,62,16768,-22424,17494,-17860,0,0,0
1783107620078162,1,1,56,19355,-10457,16445,-11382,0,0,0
1783107620079280,0,1,64,16768,-22424,18527,-16785,0,0,0
1783107620079300,1,1,58,18908,-11247,16445,-11382,0,0,0
1783107620080401,0,1,67,17778,-21632,19494,-16785,0,0,0
1783107620080422,1,1,59,18908,-11247,15850,-11382,0,0,0
1783107620081507,0,1,68,17778,-21632,19494,-15652,0,0,0
1783107620081528,1,1,61,18427,-11247,15850,-12197,0,0,0
1783107620082667,0,1,71,18751,-20794,20392,-15652,0,0,0
1783107620082686,1,1,62,18427,-12018,15850,-12197,0,0,0
1783107620083775,0,1,73,19685,-20794,20392,-14462,0,0,0
1783107620083823,1,1,64,18427,-12018,15215,-12981,0,0,0
1783107620084906,0,1,75,19685,-19913,21218,-14462,0,0,0
1783107620084997,1,1,66,17916,-12768,15215,-12981,0,0,0
1783107620086086,0,1,76,19685,-19913,21218,-13221,0,0,0
1783107620086107,1,1,68,17916,-12768,14541,-13732,0,0,0
1783107620087196,0,1,78,20577,-18989,21218,-13221,0,0,0
1783107620087213,1,1,70,17374,-13496,14541,-13732,0,0,0
1783107620088293,0,1,80,20577,-18989,21968,-11934,0,0,0
