event,realtime_us,pad,value
created,1783108421356788,1,0
created,1783108421356800,2,0
a,1783108428831087,1,1
a,1783108428911189,1,0
b,1783108428911204,2,1
b,1783108428991281,2,0
x,1783108429419091,1,1
x,1783108429461757,1,0
y,1783108429739941,2,1
y,1783108429782793,2,0
dpad_right,1783108430060790,1,1
dpad_right,1783108430103561,1,0
dpad_up,1783108430488228,2,1
dpad_up,1783108430530894,2,0
lt,1783108430915601,1,255
lt,1783108431022775,1,0
rt,1783108431343641,2,255
rt,1783108431450425,2,0
neutral,1783108434336844,1,0
neutral,1783108434336854,2,0
ff_upload,1783108434559040,1,-1018137296
ff_play,1783108434560119,1,0
ff_upload,1783108434560126,2,-1018137296
ff_play,1783108434561196,2,0
ff_upload,1783108435059695,1,0
ff_play,1783108435060772,1,0
ff_upload,1783108435060779,2,0
ff_play,1783108435061848,2,0
removed,1783108436478218,1,0
recreated,1783108437478541,1,0
reconnect_a,1783108439478652,1,1
reconnect_a,1783108439558749,1,0
