realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783108426659723,0,1,0,0,0,0,0,0,0,0
1783108426659745,1,1,0,0,0,0,0,0,0,0
1783108428833119,0,1,1,0,-1,0,-1,0,0,4096
1783108428913135,0,1,2,0,-1,0,-1,0,0,0
1783108428913153,1,1,1,0,-1,0,-1,0,0,8192
1783108428992010,0,1,3,0,-28001,0,-25001,0,0,0
1783108428992031,1,1,2,0,-1,0,-1,0,0,0
1783108428993118,0,1,4,1283,-27971,1489,-24956,0,0,0
1783108428993137,1,1,4,21981,-908,19974,-1009,0,0,0
1783108428995378,0,1,6,3840,-27736,4447,-24602,0,0,0
1783108428995398,1,1,6,21831,-2718,19771,-3016,0,0,0
1783108428996502,1,1,7,21700,-3616,19594,-4009,0,0,0
1783108428997643,0,1,8,6364,-27268,7342,-23898,0,0,0
1783108428997727,1,1,8,21533,-4509,19367,-4992,0,0,0
1783108428999905,0,1,9,7608,-26947,8753,-23418,0,0,0
1783108428999966,1,1,10,21088,-6269,18765,-6917,0,0,0
1783108429001049,0,1,10,8835,-26570,10133,-22855,0,0,0
1783108429001066,1,1,11,20811,-7134,18393,-7855,0,0,0
1783108429002139,0,1,11,10044,-26137,11477,-22210,0,0,0
1783108429002156,1,1,12,20499,-7987,17973,-8773,0,0,0
1783108429003240,0,1,12,11231,-25649,12780,-21487,0,0,0
1783108429004343,0,1,13,12396,-25107,14037,-20687,0,0,0
1783108429004361,1,1,13,20152,-8826,17508,-9668,0,0,0
1783108429005527,0,1,15,14643,-23866,16399,-18870,0,0,0
1783108429005603,1,1,15,19355,-10457,16445,-11382,0,0,0
1783108429006732,1,1,16,18908,-11247,15850,-12197,0,0,0
1783108429007819,0,1,17,16768,-22424,18527,-16785,0,0,0
1783108429007887,1,1,18,17916,-12768,14541,-13732,0,0,0
1783108429009019,0,1,19,18751,-20794,20392,-14462,0,0,0
1783108429009042,1,1,19,17374,-13496,13830,-14447,0,0,0
1783108429010215,1,1,20,16802,-14202,13084,-15126,0,0,0
1783108429011306,0,1,20,19685,-19913,21218,-13221,0,0,0
1783108429011324,1,1,21,16202,-14883,12305,-15767,0,0,0
1783108429012437,0,1,22,21426,-18026,22640,-10603,0,0,0
1783108429012458,1,1,22,15574,-15539,11494,-16367,0,0,0
1783108429013555,1,1,23,14919,-16168,10654,-16926,0,0,0
1783108429014734,0,1,24,22987,-15988,23740,-7835,0,0,0
1783108429014802,1,1,24,14239,-16770,9787,-17442,0,0,0
1783108429015899,1,1,25,13535,-17344,8895,-17913,0,0,0
1783108429016984,0,1,25,23696,-14917,24165,-6406,0,0,0
1783108429017002,1,1,26,12808,-17887,7980,-18339,0,0,0
1783108429018091,0,1,26,24355,-13815,24504,-4955,0,0,0
1783108429019275,0,1,28,25517,-11526,24919,-2005,0,0,0
1783108429019358,1,1,28,11289,-18883,6093,-19050,0,0,0
1783108429020443,0,1,29,26019,-10344,24994,-516,0,0,0
1783108429020523,1,1,29,10501,-19332,5124,-19333,0,0,0
1783108429021689,0,1,30,26466,-9140,24981,973,0,0,0
1783108429021788,1,1,30,9694,-19749,4143,-19567,0,0,0
1783108429022957,0,1,31,26857,-7917,24878,2460,0,0,0
1783108429022977,1,1,31,8871,-20133,3151,-19751,0,0,0
1783108429024063,0,1,32,27192,-6677,24687,3938,0,0,0
1783108429024162,1,1,33,7181,-20796,1145,-19968,0,0,0
1783108429025247,0,1,33,27469,-5424,24409,5402,0,0,0
1783108429025319,1,1,34,6316,-21074,137,-20000,0,0,0
1783108429026401,0,1,34,27689,-4159,24043,6847,0,0,0
1783108429026455,1,1,35,5441,-21317,-871,-19982,0,0,0
1783108429027542,0,1,35,27851,-2885,23593,8267,0,0,0
1783108429028639,0,1,36,27954,-1605,23058,9658,0,0,0
1783108429028659,1,1,36,4557,-21523,-1877,-19912,0,0,0
1783108429029743,0,1,37,27998,-322,22441,11015,0,0,0
1783108429029767,1,1,37,3665,-21693,-2879,-19792,0,0,0
1783108429030850,0,1,38,27983,961,21745,12333,0,0,0
1783108429030867,1,1,38,2767,-21826,-3873,-19622,0,0,0
1783108429031952,0,1,39,27909,2243,20971,13606,0,0,0
1783108429031967,1,1,39,1864,-21921,-4858,-19401,0,0,0
1783108429033051,0,1,40,27777,3521,20123,14832,0,0,0
1783108429033068,1,1,40,958,-21980,-5830,-19132,0,0,0
1783108429034141,0,1,41,27586,4790,19204,16005,0,0,0
1783108429034158,1,1,41,50,-22000,-6787,-18813,0,0,0
1783108429035243,0,1,42,27032,7297,17163,18176,0,0,0
1783108429035261,1,1,43,-1763,-21930,-8648,-18034,0,0,0
1783108429036345,0,1,43,26668,8529,16050,19166,0,0,0
1783108429036363,1,1,44,-2667,-21838,-9546,-17575,0,0,0
1783108429037444,0,1,44,26249,9742,14879,20088,0,0,0
1783108429037460,1,1,45,-3566,-21710,-10420,-17071,0,0,0
1783108429038543,0,1,45,25775,10936,13656,20939,0,0,0
1783108429038561,1,1,46,-4458,-21544,-11268,-16524,0,0,0
1783108429039641,0,1,46,25246,12106,12383,21716,0,0,0
1783108429039661,1,1,47,-5344,-21342,-12087,-15935,0,0,0
1783108429040748,0,1,47,24665,13251,11067,22415,0,0,0
1783108429040766,1,1,48,-6220,-21103,-12875,-15305,0,0,0
1783108429041848,0,1,48,24031,14368,9712,23035,0,0,0
1783108429041865,1,1,49,-7085,-20828,-13630,-14636,0,0,0
1783108429042950,0,1,49,23347,15454,8322,23573,0,0,0
1783108429042966,1,1,50,-7939,-20518,-14351,-13930,0,0,0
1783108429044048,0,1,50,22614,16508,6903,24027,0,0,0
1783108429044064,1,1,51,-8778,-20173,-15035,-13189,0,0,0
1783108429045196,0,1,51,21833,17528,5459,24395,0,0,0
1783108429045254,1,1,52,-9603,-19794,-15681,-12414,0,0,0
1783108429046344,0,1,52,20136,19454,2518,24871,0,0,0
1783108429046428,1,1,53,-10412,-19380,-16287,-11607,0,0,0
1783108429047529,1,1,54,-11203,-18934,-16852,-10771,0,0,0
1783108429048611,0,1,53,19223,20357,1031,24977,0,0,0
1783108429048678,1,1,56,-12726,-17946,-17851,-9019,0,0,0
1783108429049856,0,1,55,17277,22032,-1947,24923,0,0,0
1783108429049935,1,1,57,-13456,-17406,-18283,-8107,0,0,0
1783108429051085,1,1,58,-14162,-16835,-18668,-7175,0,0,0
1783108429052144,0,1,56,16249,22801,-3428,24762,0,0,0
1783108429052204,1,1,59,-14845,-16237,-19006,-6224,0,0,0
1783108429053292,0,1,57,15187,23522,-4898,24514,0,0,0
1783108429053352,1,1,60,-15502,-15610,-19296,-5258,0,0,0
1783108429054467,0,1,59,12968,24814,-7779,23757,0,0,0
1783108429054556,1,1,61,-16133,-14957,-19537,-4278,0,0,0
1783108429055710,1,1,62,-16737,-14279,-19728,-3288,0,0,0
1783108429056776,0,1,61,10640,25898,-10551,22663,0,0,0
1783108429056891,1,1,63,-17312,-13576,-19868,-2289,0,0,0
1783108429058040,0,1,62,9442,26358,-11882,21994,0,0,0
1783108429058058,1,1,64,-17857,-12850,-19958,-1284,0,0,0
1783108429059142,0,1,63,8223,26764,-13172,21247,0,0,0
1783108429059160,1,1,65,-18372,-12102,-19998,-276,0,0,0
1783108429060251,0,1,65,5737,27404,-15606,19529,0,0,0
1783108429060288,1,1,67,-19307,-10546,-19924,1739,0,0,0
1783108429061390,1,1,68,-19726,-9740,-19810,2742,0,0,0
1783108429062481,0,1,66,4475,27639,-16742,18564,0,0,0
1783108429062504,1,1,69,-20111,-8918,-19647,3737,0,0,0
1783108429063592,0,1,67,3203,27815,-17818,17534,0,0,0
1783108429063616,1,1,70,-20462,-8080,-19433,4723,0,0,0
1783108429064697,0,1,68,1924,27932,-18832,16441,0,0,0
1783108429064742,1,1,71,-20778,-7229,-19170,5697,0,0,0
1783108429065896,0,1,70,-642,27991,-20654,14084,0,0,0
1783108429065967,1,1,72,-21059,-6366,-18859,6657,0,0,0
1783108429067146,1,1,73,-21303,-5491,-18499,7599,0,0,0
1783108429068233,0,1,71,-1924,27932,-21457,12828,0,0,0
1783108429068255,1,1,74,-21512,-4607,-18092,8522,0,0,0
1783108429069353,0,1,73,-4475,27639,-22830,10184,0,0,0
1783108429070464,1,1,75,-21684,-3716,-17639,9424,0,0,0
1783108429071556,0,1,74,-5737,27404,-23397,8806,0,0,0
1783108429071574,1,1,76,-21818,-2818,-17142,10301,0,0,0
1783108429072658,0,1,75,-6988,27112,-23880,7396,0,0,0
1783108429072676,1,1,77,-21916,-1915,-16600,11153,0,0,0
1783108429073760,0,1,76,-8223,26764,-24278,5960,0,0,0
1783108429073783,1,1,78,-21976,-1009,-16017,11976,0,0,0
1783108429074872,0,1,77,-9442,26358,-24590,4503,0,0,0
1783108429074889,1,1,79,-21999,-101,-15392,12768,0,0,0
1783108429075971,0,1,79,-11817,25383,-24952,1545,0,0,0
1783108429075987,1,1,81,-21933,1712,-14028,14254,0,0,0
1783108429077067,0,1,80,-12968,24814,-24999,56,0,0,0
1783108429077084,1,1,82,-21843,2616,-13291,14943,0,0,0
1783108429078140,0,1,81,-14092,24194,-24958,-1433,0,0,0
1783108429078157,1,1,83,-21717,3515,-12520,15594,0,0,0
1783108429079246,0,1,82,-15187,23522,-24829,-2918,0,0,0
1783108429079263,1,1,84,-21553,4408,-11718,16206,0,0,0
1783108429080347,0,1,83,-16249,22801,-24611,-4392,0,0,0
1783108429080365,1,1,85,-21353,5294,-10886,16776,0,0,0
1783108429081449,0,1,84,-17277,22032,-24305,-5851,0,0,0
1783108429081466,1,1,86,-21116,6170,-10026,17304,0,0,0
1783108429082547,0,1,85,-18269,21217,-23914,-7288,0,0,0
1783108429082565,1,1,87,-20843,7036,-9141,17787,0,0,0
1783108429083647,0,1,86,-19223,20357,-23437,-8700,0,0,0
1783108429083665,1,1,88,-20535,7890,-8232,18226,0,0,0
1783108429084747,0,1,87,-20136,19454,-22877,-10082,0,0,0
1783108429084794,1,1,89,-20192,8731,-7302,18618,0,0,0
1783108429085878,0,1,88,-21007,18510,-22235,-11427,0,0,0
1783108429085894,1,1,90,-19815,9557,-6354,18962,0,0,0
1783108429086975,0,1,89,-21833,17528,-21515,-12731,0,0,0
1783108429086992,1,1,91,-19403,10366,-5390,19258,0,0,0
1783108429088078,0,1,90,-22614,16508,-20718,-13991,0,0,0
1783108429088095,1,1,92,-18959,11158,-4412,19506,0,0,0
1783108429089144,0,1,91,-23347,15454,-19848,-15201,0,0,0
1783108429089162,1,1,93,-18482,11931,-3422,19703,0,0,0
1783108429090248,0,1,92,-24031,14368,-18907,-16356,0,0,0
1783108429090265,1,1,94,-17974,12684,-2424,19851,0,0,0
1783108429091342,0,1,93,-24665,13251,-17899,-17454,0,0,0
1783108429091359,1,1,95,-17435,13415,-1420,19948,0,0,0
1783108429092444,0,1,94,-25246,12106,-16827,-18489,0,0,0
1783108429092462,1,1,96,-16867,14123,-412,19994,0,0,0
1783108429093544,0,1,95,-25775,10936,-15695,-19459,0,0,0
1783108429093561,1,1,97,-16270,14807,596,19990,0,0,0
1783108429094649,0,1,96,-26249,9742,-14508,-20360,0,0,0
1783108429094667,1,1,98,-15645,15465,1603,19934,0,0,0
1783108429095751,0,1,97,-26668,8529,-13269,-21188,0,0,0
1783108429095769,1,1,99,-14993,16098,2606,19828,0,0,0
1783108429096853,0,1,98,-27032,7297,-11983,-21941,0,0,0
1783108429096870,1,1,100,-14316,16703,3603,19671,0,0,0
1783108429097954,0,1,99,-27338,6050,-10654,-22616,0,0,0
1783108429097971,1,1,101,-13615,17279,4590,19464,0,0,0
1783108429099060,0,1,100,-27586,4790,-9288,-23211,0,0,0
1783108429099080,1,1,103,-12143,18343,6528,18903,0,0,0
1783108429100144,0,1,102,-27909,2243,-6461,-24151,0,0,0
1783108429100164,1,1,104,-11376,18829,7473,18550,0,0,0
1783108429101246,0,1,103,-27983,961,-5010,-24493,0,0,0
1783108429101261,1,1,105,-10589,19282,8399,18149,0,0,0
1783108429102345,0,1,104,-27998,-322,-3542,-24748,0,0,0
1783108429102361,1,1,106,-9784,19703,9303,17703,0,0,0
1783108429103447,0,1,105,-27954,-1605,-2061,-24915,0,0,0
1783108429103466,1,1,107,-8963,20090,10184,17211,0,0,0
1783108429104551,0,1,106,-27851,-2885,-573,-24994,0,0,0
1783108429104566,1,1,108,-8126,20442,11039,16676,0,0,0
1783108429105649,0,1,107,-27689,-4159,917,-24984,0,0,0
1783108429105665,1,1,109,-7276,20760,11866,16098,0,0,0
1783108429106753,0,1,108,-27469,-5424,2404,-24885,0,0,0
1783108429106771,1,1,110,-6413,21043,12663,15479,0,0,0
1783108429107857,0,1,109,-27192,-6677,3882,-24697,0,0,0
1783108429107938,1,1,111,-5539,21290,13427,14820,0,0,0
1783108429109086,0,1,110,-26857,-7917,5347,-24422,0,0,0
1783108429109150,1,1,112,-4656,21500,14158,14124,0,0,0
1783108429110232,0,1,111,-26466,-9140,6792,-24060,0,0,0
1783108429110249,1,1,113,-3765,21674,14852,13392,0,0,0
1783108429112433,0,1,112,-26019,-10344,8214,-23612,0,0,0
1783108429112456,1,1,114,-2867,21811,15509,12626,0,0,0
1783108429113543,0,1,113,-25517,-11526,9606,-23081,0,0,0
1783108429113561,1,1,115,-1964,21911,16126,11828,0,0,0
1783108429114593,0,1,114,-24355,-13815,12284,-21774,0,0,0
1783108429114610,1,1,117,-151,21998,17235,10144,0,0,0
1783108429115694,0,1,115,-23696,-14917,13559,-21004,0,0,0
1783108429115710,1,1,118,756,21985,17725,9262,0,0,0
1783108429116794,0,1,116,-22987,-15988,14787,-20158,0,0,0
1783108429116810,1,1,119,1663,21936,18170,8356,0,0,0
1783108429117893,0,1,117,-22230,-17025,15962,-19241,0,0,0
1783108429117910,1,1,120,2567,21848,18568,7429,0,0,0
1783108429118994,0,1,118,-21426,-18026,17080,-18256,0,0,0
1783108429119012,1,1,121,3466,21724,18919,6483,0,0,0
1783108429120094,0,1,119,-20577,-18989,18137,-17206,0,0,0
1783108429120111,1,1,122,4360,21562,19222,5521,0,0,0
1783108429121207,0,1,120,-19685,-19913,19130,-16095,0,0,0
1783108429121223,1,1,123,5246,21364,19476,4545,0,0,0
1783108429122307,0,1,121,-18751,-20794,20055,-14926,0,0,0
1783108429122324,1,1,124,6123,21129,19680,3557,0,0,0
1783108429123408,0,1,122,-17778,-21632,20909,-13705,0,0,0
1783108429123425,1,1,125,6990,20859,19835,2560,0,0,0
1783108429124511,0,1,123,-16768,-22424,21688,-12434,0,0,0
1783108429124529,1,1,126,7844,20552,19939,1556,0,0,0
1783108429125612,0,1,124,-15722,-23170,22391,-11120,0,0,0
1783108429125630,1,1,127,8686,20211,19992,549,0,0,0
1783108429126713,0,1,125,-14643,-23866,23013,-9766,0,0,0
1783108429126758,1,1,128,9512,19835,19994,-459,0,0,0
1783108429127842,0,1,126,-13534,-24512,23554,-8377,0,0,0
1783108429127860,1,1,129,10323,19426,19946,-1467,0,0,0
1783108429128941,0,1,127,-12396,-25107,24012,-6959,0,0,0
1783108429128958,1,1,130,11116,18983,19846,-2471,0,0,0
1783108429130042,0,1,128,-11231,-25649,24384,-5516,0,0,0
1783108429130059,1,1,131,11890,18509,19697,-3468,0,0,0
1783108429131143,0,1,129,-10044,-26137,24669,-4053,0,0,0
1783108429131161,1,1,132,12643,18002,19497,-4457,0,0,0
