realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141479279490,0,0,0,0,0,0,0,0
1783141479827388,1,0,-28001,0,-25001,0,0,0
1783141479831750,2,1283,-27971,1569,-24951,0,0,0
1783141479835011,3,2564,-27883,3133,-24803,0,0,0
1783141479839371,4,3840,-27736,4684,-24558,0,0,0
1783141479843717,5,5107,-27531,6217,-24215,0,0,0
1783141479846969,6,6364,-27268,7725,-23777,0,0,0
1783141479851302,7,7608,-26947,9203,-23245,0,0,0
1783141479855632,8,8835,-26570,10644,-22621,0,0,0
1783141479858889,9,10044,-26137,12043,-21908,0,0,0
1783141479863257,10,11231,-25649,13395,-21109,0,0,0
1783141479866892,11,12396,-25107,14694,-20226,0,0,0
1783141479871219,12,13534,-24512,15935,-19263,0,0,0
1783141479875558,13,14643,-23866,17113,-18225,0,0,0
1783141479878805,14,15722,-23170,18224,-17114,0,0,0
1783141479883087,15,16768,-22424,19262,-15936,0,0,0
1783141479887385,16,17778,-21632,20225,-14695,0,0,0
1783141479890633,17,18751,-20794,21108,-13396,0,0,0
1783141479894972,18,19685,-19913,21907,-12044,0,0,0
1783141479899300,19,20577,-18989,22620,-10645,0,0,0
1783141479902545,20,21426,-18026,23244,-9204,0,0,0
1783141479906875,21,22230,-17025,23776,-7726,0,0,0
1783141479911207,22,22987,-15988,24214,-6218,0,0,0
1783141479914461,23,23696,-14917,24557,-4685,0,0,0
1783141479918790,24,24355,-13815,24802,-3134,0,0,0
1783141479923112,25,24962,-12684,24950,-1570,0,0,0
1783141479927446,26,25517,-11526,25000,-1,0,0,0
1783141479930690,27,26019,-10344,24950,1568,0,0,0
1783141479935023,28,26466,-9140,24802,3132,0,0,0
1783141479939363,29,26857,-7917,24557,4683,0,0,0
1783141479942612,30,27192,-6677,24214,6216,0,0,0
1783141479946943,31,27469,-5424,23776,7724,0,0,0
1783141479951271,32,27689,-4159,23244,9202,0,0,0
1783141479954525,33,27851,-2885,22620,10643,0,0,0
1783141479958852,34,27954,-1605,21907,12042,0,0,0
1783141479963184,35,27998,-322,21108,13394,0,0,0
1783141479967526,36,27983,961,20225,14693,0,0,0
1783141479970773,37,27909,2243,19262,15934,0,0,0
1783141479975101,38,27777,3521,18224,17112,0,0,0
1783141479979388,39,27586,4790,17113,18223,0,0,0
1783141479982632,40,27338,6050,15935,19261,0,0,0
1783141479986968,41,27032,7297,14694,20224,0,0,0
