realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783142855278227,0,0,0,0,0,0,0,0
1783142858858863,1,0,-1,0,-1,0,0,0
1783142858859932,4,0,-28001,0,-25001,0,0,0
1783142858861091,6,1283,-28001,0,-25001,0,0,0
1783142858862144,9,1283,-27971,1569,-25001,0,0,0
1783142858863234,12,2564,-27883,1569,-24951,0,0,0
1783142858864321,16,3840,-27736,3133,-24803,0,0,0
1783142858865372,18,3840,-27736,4684,-24558,0,0,0
1783142858866492,20,5107,-27531,4684,-24558,0,0,0
1783142858867537,22,5107,-27531,6217,-24215,0,0,0
1783142858868601,24,6364,-27268,6217,-24215,0,0,0
1783142858869666,26,6364,-27268,7725,-23777,0,0,0
1783142858870756,28,7608,-26947,7725,-23777,0,0,0
1783142858871821,30,7608,-26947,9203,-23245,0,0,0
1783142858872899,32,8835,-26570,9203,-23245,0,0,0
1783142858873964,34,8835,-26570,10644,-22621,0,0,0
1783142858875031,36,10044,-26137,10644,-22621,0,0,0
1783142858876096,38,10044,-26137,12043,-21908,0,0,0
1783142858877163,40,11231,-25649,12043,-21908,0,0,0
1783142858878229,44,12396,-25107,13395,-21109,0,0,0
1783142858879294,46,12396,-25107,14694,-20226,0,0,0
1783142858880362,48,13534,-24512,14694,-20226,0,0,0
1783142858881426,50,13534,-24512,15935,-19263,0,0,0
1783142858882490,52,14643,-23866,15935,-19263,0,0,0
1783142858883554,54,14643,-23866,17113,-18225,0,0,0
1783142858884619,56,15722,-23170,17113,-18225,0,0,0
1783142858885683,58,15722,-23170,18224,-17114,0,0,0
1783142858886772,60,16768,-22424,18224,-17114,0,0,0
1783142858887836,62,16768,-22424,19262,-15936,0,0,0
1783142858888900,64,17778,-21632,19262,-15936,0,0,0
1783142858889964,66,17778,-21632,20225,-14695,0,0,0
1783142858890995,68,18751,-20794,20225,-14695,0,0,0
1783142858892061,70,18751,-20794,21108,-13396,0,0,0
1783142858893172,72,19685,-19913,21108,-13396,0,0,0
1783142858894241,74,19685,-19913,21907,-12044,0,0,0
1783142858895317,76,20577,-18989,21907,-12044,0,0,0
1783142858896383,80,21426,-18026,22620,-10645,0,0,0
1783142858897448,82,21426,-18026,23244,-9204,0,0,0
1783142858898571,84,22230,-17025,23244,-9204,0,0,0
1783142858899635,86,22230,-17025,23776,-7726,0,0,0
1783142858900703,88,22987,-15988,23776,-7726,0,0,0
1783142858901768,90,22987,-15988,24214,-6218,0,0,0
1783142858902850,92,23696,-14917,24214,-6218,0,0,0
1783142858903915,94,23696,-14917,24557,-4685,0,0,0
1783142858904981,96,24355,-13815,24557,-4685,0,0,0
1783142858906044,98,24355,-13815,24802,-3134,0,0,0
1783142858907111,100,24962,-12684,24802,-3134,0,0,0
1783142858908175,102,24962,-12684,24950,-1570,0,0,0
1783142858909242,104,25517,-11526,24950,-1570,0,0,0
1783142858910318,107,26019,-11526,25000,-1,0,0,0
1783142858911372,110,26019,-10344,24950,1568,0,0,0
1783142858912447,111,26466,-10344,24950,1568,0,0,0
1783142858913512,114,26466,-9140,24802,3132,0,0,0
1783142858914576,116,26857,-7917,24802,3132,0,0,0
1783142858915640,118,26857,-7917,24557,4683,0,0,0
1783142858916695,120,27192,-6677,24557,4683,0,0,0
1783142858917759,122,27192,-6677,24214,6216,0,0,0
1783142858918824,124,27469,-5424,24214,6216,0,0,0
1783142858919888,126,27469,-5424,23776,7724,0,0,0
1783142858920953,128,27689,-4159,23776,7724,0,0,0
1783142858922017,130,27689,-4159,23244,9202,0,0,0
1783142858923081,132,27851,-2885,23244,9202,0,0,0
1783142858924148,134,27851,-2885,22620,10643,0,0,0
1783142858925273,136,27954,-1605,22620,10643,0,0,0
1783142858926342,140,27998,-322,21907,12042,0,0,0
1783142858927371,142,27998,-322,21108,13394,0,0,0
1783142858928441,144,27983,961,21108,13394,0,0,0
1783142858929506,146,27983,961,20225,14693,0,0,0
1783142858930572,148,27909,2243,20225,14693,0,0,0
1783142858931637,150,27909,2243,19262,15934,0,0,0
1783142858932689,152,27777,3521,19262,15934,0,0,0
1783142858933753,154,27777,3521,18224,17112,0,0,0
1783142858934823,156,27586,4790,18224,17112,0,0,0
1783142858935888,158,27586,4790,17113,18223,0,0,0
1783142858936952,160,27338,6050,17113,18223,0,0,0
1783142858938019,162,27338,6050,15935,19261,0,0,0
1783142858939085,164,27032,7297,15935,19261,0,0,0
1783142858940149,166,27032,7297,14694,20224,0,0,0
1783142858941215,168,26668,8529,14694,20224,0,0,0
1783142858942305,172,26249,9742,13395,21107,0,0,0
1783142858943370,174,26249,9742,12043,21906,0,0,0
1783142858944439,175,25775,9742,12043,21906,0,0,0
1783142858945503,178,25775,10936,10644,22619,0,0,0
1783142858946567,180,25246,12106,10644,22619,0,0,0
1783142858947631,182,25246,12106,9203,23243,0,0,0
1783142858948697,184,24665,13251,9203,23243,0,0,0
1783142858949761,186,24665,13251,7725,23775,0,0,0
1783142858950828,188,24031,14368,7725,23775,0,0,0
1783142858951895,190,24031,14368,6217,24213,0,0,0
1783142858952925,192,23347,15454,6217,24213,0,0,0
1783142858953989,194,23347,15454,4684,24556,0,0,0
1783142858955058,195,22614,15454,4684,24556,0,0,0
1783142858956124,198,22614,16508,3133,24801,0,0,0
1783142858957195,199,21833,16508,3133,24801,0,0,0
1783142858958260,203,21007,17528,1569,24949,0,0,0
1783142858959326,206,21007,18510,0,24999,0,0,0
1783142858960377,207,20136,18510,0,24999,0,0,0
1783142858961445,210,20136,19454,-1569,24949,0,0,0
1783142858962514,211,19223,19454,-1569,24949,0,0,0
1783142858963580,214,19223,20357,-3133,24801,0,0,0
1783142858964645,215,18269,20357,-3133,24801,0,0,0
1783142858965724,218,18269,21217,-4684,24556,0,0,0
1783142858966792,219,17277,21217,-4684,24556,0,0,0
1783142858967861,222,17277,22032,-6217,24213,0,0,0
1783142858968927,223,16249,22032,-6217,24213,0,0,0
1783142858969994,226,16249,22801,-7725,23775,0,0,0
1783142858971139,227,15187,22801,-7725,23775,0,0,0
1783142858972206,231,14092,23522,-9203,23243,0,0,0
1783142858973271,234,14092,24194,-10644,22619,0,0,0
